Unnamed: 0,Date--Time,Satellite ID,apo_sat,peri_sat,inc_sat,per_min_sat,apo_rso,peri_rso,inc_rso,per_min_rso
0,2023-04-29 12:00:00,STARLINK-2715,547.4414214682993,537.3203875952804,53.03675991810063,95.4913739450946,569.1913531334694,343.3327348249795,138.47165451538174,95.4913739450946
1,2023-04-29 12:00:00,STARLINK-2753,540.2878993024478,535.8507592129863,53.02299426913067,95.40214876284855,667.1337300638161,526.7171836535999,99.70470418742306,95.40214876284855
2,2023-04-29 12:00:00,STARLINK-2616,544.4330111271474,529.48630760986,53.02101850910906,95.37918938165738,1020.1562928971616,435.74008710782255,84.72278977636799,95.37918938165738
3,2023-04-29 12:00:00,STARLINK-2748,555.7549561858532,537.3734421466133,53.0510204501504,95.57797101531538,538.404612829806,534.9997422111182,84.122183648465,95.57797101531538
4,2023-04-29 12:00:00,STARLINK-2618,548.2229784016145,542.8478140474817,53.04786291258522,95.55667166218856,545.5977668590458,472.3046549360697,58.47217247843771,95.55667166218856
5,2023-04-29 12:00:00,STARLINK-2752,545.5323726100414,531.8094800441722,53.02527788161444,95.41459674491271,974.7413277416508,284.49843111263726,119.430869531379,95.41459674491271
6,2023-04-29 12:00:00,STARLINK-2750,548.5938801537422,543.7976230233262,53.04974517934868,95.57034284683344,1182.2275520484245,456.7731571331378,128.65951978821587,95.57034284683344
7,2023-04-29 12:00:00,STARLINK-2740,554.9486633285951,537.4112605579512,53.05099248927528,95.57001594984528,826.4682438308118,363.4123771509903,65.9070439732086,95.57001594984528
8,2023-04-29 12:00:00,STARLINK-2617,542.4723533321649,537.3854185125392,53.030233157493015,95.44062764126654,550.3816753904466,423.9854809820736,116.6093264540976,95.44062764126654
9,2023-04-29 12:00:00,STARLINK-2742,540.0607130446888,530.8945576224733,53.015559740434426,95.34852876177436,544.8377140498496,514.0374499340842,91.03346540589656,95.34852876177436
10,2023-04-29 12:00:00,STARLINK-2627,542.2378423963701,528.517479107486,53.01686784011682,95.34646057176138,4399.344220576402,431.1753675303107,121.90950896104933,95.34646057176138
11,2023-04-29 12:00:00,STARLINK-2629,548.0431190181007,537.6987396195882,53.03965125329824,95.50151644150844,616.2711770588439,440.3825021907887,76.16346368433166,95.50151644150844
12,2023-04-29 12:00:00,STARLINK-2751,540.1642220121003,531.7381291183547,53.018746168470976,95.35832516674482,556.8631970283486,422.6570532521328,112.07119091094044,95.35832516674482
13,2023-04-29 12:00:00,STARLINK-2741,556.151386688467,537.6599302779123,53.05208644289549,95.5850406125006,537.673983263172,307.18153945454105,139.24180244396845,95.5850406125006
14,2023-04-29 12:00:00,STARLINK-2756,546.3081101276157,534.2243102322982,53.03118222734226,95.44760827805857,698.9127772437796,326.7921551576319,99.63513382171624,95.44760827805857
15,2023-04-29 12:00:00,STARLINK-2743,544.1979424692499,528.924477366595,53.0200480545177,95.37094580025176,986.185450103032,329.7120498000959,61.976439203287775,95.37094580025176
16,2023-04-29 12:00:00,STARLINK-2725,545.627579923851,532.428547953602,53.02788424138846,95.42198673543488,551.7178421735143,347.90495812606423,124.74678420180332,95.42198673543488
0,2023-04-29 12:00:00,STARLINK-2649,546.091663372692,534.0673021521288,53.03039336973605,95.44374409294522,561.2859086323433,276.8942368946064,45.59473144811478,95.44374409294522
